% of NBV,% من صافي القيمة
+{0} quarters,+{0} أرباع
categories,فئات
Company,الشركة
Completed,مكتمل
Completion Date,تاريخ الإنجاز
Completion Rate,نسبة الإنجاز
Count,العدد
Current Asset Value,القيمة الحالية للأصل
Custodian,المسؤول / العهدة
Custodian Name,اسم المسؤول
Date,التاريخ
Days Until Due,الأيام حتى الاستحقاق
Depreciation & Value,الإهلاك والقيم
Depreciation (12m),الإهلاك (12 شهر)
Depreciation (Monthly),الإهلاك (شهري)
Depreciation Amount,قيمة الإهلاك
Depreciation Method,طريقة الإهلاك
Depreciation Plan,جدول الإهلاك
Description,الوصف
Difference Account,حساب الفرق
Difference Amount,مقدار الفرق
Disposal Date,تاريخ الاستبعاد
Disposal Method,طريقة الاستبعاد
Disposal NBV (Monthly),صافي قيمة الاستبعاد (شهري)
Disposal Register,سجل الاستبعاد والبيع
Disposals,الاستبعادات
Disposals (12m),الاستبعادات (12 شهر)
Double Declining Balance,القسط المتناقص المضاعف
Downtime (days),مدة التوقف (أيام)
Draft,مسودة
Due Date,تاريخ الاستحقاق
Due From,الاستحقاق من
Due To,الاستحقاق إلى
End Of Life Alert,أصول قرب نهاية العمر الإنتاجي
Estimated End Date,تاريخ الانتهاء المتوقع
Executive BI for Fixed Assets — تقارير تنفيذية حية للأصول الثابتة: السجلات، الإهلاك، العهدة، الصيانة، الإصلاح والاستبعاد.,Executive BI for Fixed Assets — تقارير تنفيذية حية للأصول الثابتة: السجلات، الإهلاك، العهدة، الصيانة، الإصلاح والاستبعاد.
Failure Date,تاريخ العطل
Finance Book,الدفتر المالي
Frequency (months),التكرار (شهور)
From Custodian,المسؤول المسلِّم
From Date,من تاريخ
From Location,من موقع
gross,إجمالي
Gross Purchase Amount,قيمة الشراء الإجمالية
Gross Value,القيمة الإجمالية
Group By,تجميع حسب
Include Drafts,تضمين المسودات
Increase In Asset Life (days),زيادة عمر الأصل (أيام)
Issue,صرف
Item,الصنف
Item Code,رمز الصنف
Item Name,اسم الصنف
Journal Entry,القيد المحاسبي
last 30 days,آخر 30 يوم
Last Completion Date,تاريخ الإنجاز الأخير
Lines,البنود
Location,الموقع
Log ID,رقم السجل
Maintenance & Repairs,الصيانة والإصلاحات
Maintenance Log Register,سجل أعمال الصيانة
Maintenance Logs,سجلات الصيانة
Maintenance Schedule,جدول الصيانة الدورية
Maintenance Status,حالة الصيانة
Maintenance Tasks,مهام الصيانة
Maintenance Team,فريق الصيانة
Maintenance Type,نوع الصيانة
Manual,يدوي
months,شهور
Months Left,الأشهر المتبقية
Movement ID,رقم الحركة
Movement Lines,بنود الحركة
Movements (30d),الحركات (30 يوم)
Movements by Purpose,الحركات حسب الغرض
Nearing End Of Life,قرب نهاية العمر
Net Book Value,صافي القيمة الدفترية
Net Book Value by Category,صافي القيمة الدفترية حسب الفئة
Net Book Value by Location,صافي القيمة الدفترية حسب الموقع
Net Difference,صافي الفرق
New Asset Value,القيمة الجديدة للأصل
Next Due Date,موعد الاستحقاق القادم
No data for the selected filters,لا توجد بيانات للفلاتر المختارة
Not Categorized,غير مصنف
Not Specified,غير محدد
of gross,من الإجمالي
Overdue,متأخر
Overdue Maintenance,صيانة متأخرة
Pending,قيد الانتظار
Pending Repairs,إصلاحات معلقة
Performed By,المنفِّذ
Periodicity,التكرار
Planned,مخطط
Posting Date,تاريخ الترحيل
Purchase Date,تاريخ الشراء
Purchase Invoice,فاتورة شراء
Purpose,الغرض
Qty,الكمية
Rate,السعر
Receipt,استلام
Reference,المرجع
Refresh,تحديث
Remaining (bookings),المتبقي (أقساط)
Repair Cost,تكلفة الإصلاح
Repair Cost (Monthly),تكلفة الإصلاح (شهري)
Repair ID,رقم الإصلاح
Repair Status,حالة الإصلاح
Repairs,الإصلاحات
Schedule Date,تاريخ الجدولة
scheduled bookings,قيد مجدول
Scheduled bookings,قيد مجدول
scheduled tasks,مهمة مجدولة
Scrap Journal Entry,قيد الاستبعاد
Scrapped,مستبعد (خردة)
Sold,مبيع
Status,الحالة
Straight Line,القسط الثابت
Submitted,مُرحّل
Supplier,المورد
Supplier Name,اسم المورد
Task,المهمة
this month,هذا الشهر
This quarter,هذا الربع
To Custodian,المسؤول المستلِم
To Date,إلى تاريخ
To Location,إلى موقع
Total Assets,إجمالي الأصول
Total Depreciation,إجمالي الإهلاك
Total Depreciations,إجمالي قسط الإهلاك
Total Repair Cost,إجمالي تكلفة الإصلاح
Transfer,تحويل
Transfer and Issue,تحويل وصرف
View,العرض
Within,خلال
Within (months),خلال (شهور)
within 12 months,خلال 12 شهر
Workspace,مساحة العمل
Written Down Value,القيمة الدفترية المتناقصة
yrs,سنة
{0} months,{0} شهور
⚡ Quick Reports — التقارير السريعة,⚡ Quick Reports — التقارير السريعة
📈 Live Charts — الرسوم البيانية الحية,📈 Live Charts — الرسوم البيانية الحية
🗂 Report Groups — مجموعات التقارير,🗂 Report Groups — مجموعات التقارير
